Date,Exchange_Symbol,Close_Price
2023-01-06,AAPL,129.62
2023-01-05,AAPL,125.02
2023-01-04,AAPL,126.36
2023-01-03,AAPL,125.07
2022-12-30,AAPL,129.93
2022-12-29,AAPL,129.61
2022-12-28,AAPL,126.04
2022-12-27,AAPL,130.03
2022-12-23,AAPL,131.86
2022-12-22,AAPL,132.23
2022-12-21,AAPL,135.45
2022-12-20,AAPL,132.3
2022-12-19,AAPL,132.37
2022-12-16,AAPL,134.51
2022-12-15,AAPL,136.5
2022-12-14,AAPL,143.21
2022-12-13,AAPL,145.47
2022-12-12,AAPL,144.49
2022-12-09,AAPL,142.16
2022-12-08,AAPL,142.65
2022-12-07,AAPL,140.94
2022-12-06,AAPL,142.91
2022-12-05,AAPL,146.63
2022-12-02,AAPL,147.81
2022-12-01,AAPL,148.31
2022-11-30,AAPL,148.03
2022-11-29,AAPL,141.17
2022-11-28,AAPL,144.22
2022-11-25,AAPL,148.11
2022-11-23,AAPL,151.07
2022-11-22,AAPL,150.18
2022-11-21,AAPL,148.01
2022-11-18,AAPL,151.29
2022-11-17,AAPL,150.72
2022-11-16,AAPL,148.79
2022-11-15,AAPL,150.04
2022-11-14,AAPL,148.28
2022-11-11,AAPL,149.7
2022-11-10,AAPL,146.87
2022-11-09,AAPL,134.87
2022-11-08,AAPL,139.5
2022-11-07,AAPL,138.92
2022-11-04,AAPL,138.38
2022-11-03,AAPL,138.88
2022-11-02,AAPL,145.03
2022-11-01,AAPL,150.65
2022-10-31,AAPL,153.34
2022-10-28,AAPL,155.74
2022-10-27,AAPL,144.8
2022-10-26,AAPL,149.35
2022-10-25,AAPL,152.34
2022-10-24,AAPL,149.45
2022-10-21,AAPL,147.27
2022-10-20,AAPL,143.39
2022-10-19,AAPL,143.86
2022-10-18,AAPL,143.75
2022-10-17,AAPL,142.41
2022-10-14,AAPL,138.38
2022-10-13,AAPL,142.99
2022-10-12,AAPL,138.34
2022-10-11,AAPL,138.98
2022-10-10,AAPL,140.42
2022-10-07,AAPL,140.09
2022-10-06,AAPL,145.43
2022-10-05,AAPL,146.4
2022-10-04,AAPL,146.1
2022-10-03,AAPL,142.45
2022-09-30,AAPL,138.2
2022-09-29,AAPL,142.48
2022-09-28,AAPL,149.84
2022-09-27,AAPL,151.76
2022-09-26,AAPL,150.77
2022-09-23,AAPL,150.43
2022-09-22,AAPL,152.74
2022-09-21,AAPL,153.72
2022-09-20,AAPL,156.9
2022-09-19,AAPL,154.48
2022-09-16,AAPL,150.7
2022-09-15,AAPL,152.37
2022-09-14,AAPL,155.31
2022-09-13,AAPL,153.84
2022-09-12,AAPL,163.43
2022-09-09,AAPL,157.37
2022-09-08,AAPL,154.46
2022-09-07,AAPL,155.96
2022-09-06,AAPL,154.53
2022-09-02,AAPL,155.81
2022-09-01,AAPL,157.96
2022-08-31,AAPL,157.22
2022-08-30,AAPL,158.91
2022-08-29,AAPL,161.38
2022-08-26,AAPL,163.62
2022-08-25,AAPL,170.03
2022-08-24,AAPL,167.53
2022-08-23,AAPL,167.23
2022-08-22,AAPL,167.57
2022-08-19,AAPL,171.52
2022-08-18,AAPL,174.15
2022-08-17,AAPL,174.55
2022-08-16,AAPL,173.03
2022-08-15,AAPL,173.19
2022-08-12,AAPL,172.1
2022-08-11,AAPL,168.49
2022-08-10,AAPL,169.24
2022-08-09,AAPL,164.92
2022-08-08,AAPL,164.87
2022-08-05,AAPL,165.35
2022-08-04,AAPL,165.81
2022-08-03,AAPL,166.13
2022-08-02,AAPL,160.01
2022-08-01,AAPL,161.51
2022-07-29,AAPL,162.51
2022-07-28,AAPL,157.35
2022-07-27,AAPL,156.79
2022-07-26,AAPL,151.6
2022-07-25,AAPL,152.95
2022-07-22,AAPL,154.09
2022-07-21,AAPL,155.35
2022-07-20,AAPL,153.04
2022-07-19,AAPL,151.0
2022-07-18,AAPL,147.07
2022-07-15,AAPL,150.17
2022-07-14,AAPL,148.47
2022-07-13,AAPL,145.49
2022-07-12,AAPL,145.86
2022-07-11,AAPL,144.87
2022-07-08,AAPL,147.04
2022-07-07,AAPL,146.35
2022-07-06,AAPL,142.92
2022-07-05,AAPL,141.56
2022-07-01,AAPL,138.93
2022-06-30,AAPL,136.72
2022-06-29,AAPL,139.23
2022-06-28,AAPL,137.44
2022-06-27,AAPL,141.66
2022-06-24,AAPL,141.66
2022-06-23,AAPL,138.27
2022-06-22,AAPL,135.35
2022-06-21,AAPL,135.87
2022-06-17,AAPL,131.56
2022-06-16,AAPL,130.06
2022-06-15,AAPL,135.43
2022-06-14,AAPL,132.76
2022-06-13,AAPL,131.88
2022-06-10,AAPL,137.13
2022-06-09,AAPL,142.64
2022-06-08,AAPL,147.96
2022-06-07,AAPL,148.71
2022-06-06,AAPL,146.14
2022-06-03,AAPL,145.38
2022-06-02,AAPL,151.21
2022-06-01,AAPL,148.71
