Date,Exchange_Symbol,Close_Price
2023-01-06,AMZN,86.08
2023-01-05,AMZN,83.12
2023-01-04,AMZN,85.14
2023-01-03,AMZN,85.82
2022-12-30,AMZN,84.0
2022-12-29,AMZN,84.18
2022-12-28,AMZN,81.82
2022-12-27,AMZN,83.04
2022-12-23,AMZN,85.25
2022-12-22,AMZN,83.79
2022-12-21,AMZN,86.77
2022-12-20,AMZN,85.19
2022-12-19,AMZN,84.92
2022-12-16,AMZN,87.86
2022-12-15,AMZN,88.45
2022-12-14,AMZN,91.58
2022-12-13,AMZN,92.49
2022-12-12,AMZN,90.55
2022-12-09,AMZN,89.09
2022-12-08,AMZN,90.35
2022-12-07,AMZN,88.46
2022-12-06,AMZN,88.25
2022-12-05,AMZN,91.01
2022-12-02,AMZN,94.13
2022-12-01,AMZN,95.5
2022-11-30,AMZN,96.54
2022-11-29,AMZN,92.42
2022-11-28,AMZN,93.95
2022-11-25,AMZN,93.41
2022-11-23,AMZN,94.13
2022-11-22,AMZN,93.2
2022-11-21,AMZN,92.46
2022-11-18,AMZN,94.14
2022-11-17,AMZN,94.85
2022-11-16,AMZN,97.12
2022-11-15,AMZN,98.94
2022-11-14,AMZN,98.49
2022-11-11,AMZN,100.79
2022-11-10,AMZN,96.63
2022-11-09,AMZN,86.14
2022-11-08,AMZN,89.98
2022-11-07,AMZN,90.53
2022-11-04,AMZN,90.98
2022-11-03,AMZN,89.3
2022-11-02,AMZN,92.12
2022-11-01,AMZN,96.79
2022-10-31,AMZN,102.44
2022-10-28,AMZN,103.41
2022-10-27,AMZN,110.96
2022-10-26,AMZN,115.66
2022-10-25,AMZN,120.6
2022-10-24,AMZN,119.82
2022-10-21,AMZN,119.32
2022-10-20,AMZN,115.25
2022-10-19,AMZN,115.07
2022-10-18,AMZN,116.36
2022-10-17,AMZN,113.79
2022-10-14,AMZN,106.9
2022-10-13,AMZN,112.53
2022-10-12,AMZN,112.9
2022-10-11,AMZN,112.21
2022-10-10,AMZN,113.67
2022-10-07,AMZN,114.56
2022-10-06,AMZN,120.3
2022-10-05,AMZN,120.95
2022-10-04,AMZN,121.09
2022-10-03,AMZN,115.88
2022-09-30,AMZN,113.0
2022-09-29,AMZN,114.8
2022-09-28,AMZN,118.01
2022-09-27,AMZN,114.41
2022-09-26,AMZN,115.15
