Date,Exchange_Symbol,Close_Price
2023-01-06,AXP,150.17
2023-01-05,AXP,146.43
2023-01-04,AXP,150.54
2023-01-03,AXP,147.12
2022-12-30,AXP,147.75
2022-12-29,AXP,147.32
2022-12-28,AXP,144.01
2022-12-27,AXP,146.39
2022-12-23,AXP,147.02
2022-12-22,AXP,145.31
2022-12-21,AXP,147.1
2022-12-20,AXP,145.7
2022-12-19,AXP,145.01
2022-12-16,AXP,146.3
2022-12-15,AXP,150.22
2022-12-14,AXP,154.11
2022-12-13,AXP,157.52
2022-12-12,AXP,157.31
2022-12-09,AXP,153.9
2022-12-08,AXP,154.12
2022-12-07,AXP,154.77
2022-12-06,AXP,154.7
2022-12-05,AXP,156.08
2022-12-02,AXP,156.75
2022-12-01,AXP,157.5
2022-11-30,AXP,157.59
2022-11-29,AXP,154.42
2022-11-28,AXP,150.87
2022-11-25,AXP,154.15
2022-11-23,AXP,153.93
2022-11-22,AXP,154.58
2022-11-21,AXP,152.81
2022-11-18,AXP,152.5
2022-11-17,AXP,150.64
2022-11-16,AXP,152.57
2022-11-15,AXP,153.89
2022-11-14,AXP,154.13
2022-11-11,AXP,154.89
2022-11-10,AXP,154.75
2022-11-09,AXP,145.86
2022-11-08,AXP,150.2
2022-11-07,AXP,146.98
2022-11-04,AXP,144.72
2022-11-03,AXP,139.31
2022-11-02,AXP,143.5
2022-11-01,AXP,147.08
2022-10-31,AXP,148.45
2022-10-28,AXP,150.44
2022-10-27,AXP,146.97
2022-10-26,AXP,146.88
2022-10-25,AXP,147.02
2022-10-24,AXP,141.63
2022-10-21,AXP,140.04
2022-10-20,AXP,142.42
2022-10-19,AXP,143.97
2022-10-18,AXP,145.99
2022-10-17,AXP,141.54
2022-10-14,AXP,136.81
2022-10-13,AXP,141.55
2022-10-12,AXP,136.74
2022-10-11,AXP,137.35
2022-10-10,AXP,137.51
2022-10-07,AXP,139.0
2022-10-06,AXP,142.38
2022-10-05,AXP,144.37
2022-10-04,AXP,145.46
2022-10-03,AXP,140.02
2022-09-30,AXP,134.91
2022-09-29,AXP,137.79
2022-09-28,AXP,140.56
2022-09-27,AXP,137.49
2022-09-26,AXP,137.45
2022-09-23,AXP,140.26
2022-09-22,AXP,143.03
2022-09-21,AXP,148.71
2022-09-20,AXP,153.48
2022-09-19,AXP,155.36
2022-09-16,AXP,153.08
2022-09-15,AXP,156.13
2022-09-14,AXP,156.3
2022-09-13,AXP,155.35
2022-09-12,AXP,162.45
2022-09-09,AXP,158.44
2022-09-08,AXP,153.52
2022-09-07,AXP,152.25
2022-09-06,AXP,148.6
2022-09-02,AXP,149.79
2022-09-01,AXP,151.11
2022-08-31,AXP,152.0
2022-08-30,AXP,154.66
2022-08-29,AXP,154.54
2022-08-26,AXP,157.31
2022-08-25,AXP,162.23
2022-08-24,AXP,159.13
2022-08-23,AXP,157.33
2022-08-22,AXP,157.7
2022-08-19,AXP,162.24
2022-08-18,AXP,164.65
2022-08-17,AXP,163.9
2022-08-16,AXP,165.35
2022-08-15,AXP,165.4
2022-08-12,AXP,165.84
2022-08-11,AXP,162.99
2022-08-10,AXP,162.44
2022-08-09,AXP,158.8
2022-08-08,AXP,157.28
2022-08-05,AXP,157.51
2022-08-04,AXP,156.87
2022-08-03,AXP,155.43
2022-08-02,AXP,151.6
