Date,Exchange_Symbol,Close_Price
2023-01-06,DIS,93.92
2023-01-05,DIS,91.92
2023-01-04,DIS,91.98
2023-01-03,DIS,88.97
2022-12-30,DIS,86.88
2022-12-29,DIS,87.18
2022-12-28,DIS,84.17
2022-12-27,DIS,86.37
2022-12-23,DIS,88.01
2022-12-22,DIS,86.67
2022-12-21,DIS,86.92
2022-12-20,DIS,87.02
2022-12-19,DIS,85.78
2022-12-16,DIS,90.08
2022-12-15,DIS,90.49
2022-12-14,DIS,94.15
2022-12-13,DIS,94.7
2022-12-12,DIS,94.66
2022-12-09,DIS,93.38
2022-12-08,DIS,92.55
2022-12-07,DIS,92.15
2022-12-06,DIS,92.29
2022-12-05,DIS,95.93
2022-12-02,DIS,99.43
2022-12-01,DIS,98.59
2022-11-30,DIS,97.87
2022-11-29,DIS,94.69
2022-11-28,DIS,95.69
2022-11-25,DIS,98.87
2022-11-23,DIS,98.88
2022-11-22,DIS,96.21
2022-11-21,DIS,97.58
2022-11-18,DIS,91.8
2022-11-17,DIS,91.45
2022-11-16,DIS,93.95
2022-11-15,DIS,95.51
2022-11-14,DIS,94.28
2022-11-11,DIS,95.01
2022-11-10,DIS,90.46
2022-11-09,DIS,86.75
2022-11-08,DIS,99.9
2022-11-07,DIS,100.43
2022-11-04,DIS,99.58
2022-11-03,DIS,99.25
2022-11-02,DIS,101.82
2022-11-01,DIS,106.0
2022-10-31,DIS,106.54
2022-10-28,DIS,105.95
2022-10-27,DIS,104.44
2022-10-26,DIS,104.63
2022-10-25,DIS,104.36
2022-10-24,DIS,101.72
2022-10-21,DIS,102.04
2022-10-20,DIS,98.59
2022-10-19,DIS,98.99
2022-10-18,DIS,98.48
2022-10-17,DIS,97.33
2022-10-14,DIS,94.45
2022-10-13,DIS,96.64
2022-10-12,DIS,93.41
2022-10-11,DIS,93.1
2022-10-10,DIS,95.16
2022-10-07,DIS,97.16
2022-10-06,DIS,100.04
2022-10-05,DIS,100.8
2022-10-04,DIS,101.44
2022-10-03,DIS,97.13
2022-09-30,DIS,94.33
2022-09-29,DIS,97.45
2022-09-28,DIS,99.4
2022-09-27,DIS,95.85
2022-09-26,DIS,98.12
2022-09-23,DIS,99.5
2022-09-22,DIS,102.16
2022-09-21,DIS,104.49
2022-09-20,DIS,107.57
2022-09-19,DIS,109.17
2022-09-16,DIS,108.25
2022-09-15,DIS,110.77
2022-09-14,DIS,112.5
2022-09-13,DIS,111.76
2022-09-12,DIS,116.39
2022-09-09,DIS,115.18
2022-09-08,DIS,112.33
2022-09-07,DIS,112.69
2022-09-06,DIS,110.09
2022-09-02,DIS,111.2
2022-09-01,DIS,112.53
2022-08-31,DIS,112.08
2022-08-30,DIS,112.43
2022-08-29,DIS,113.53
2022-08-26,DIS,114.07
2022-08-25,DIS,117.46
2022-08-24,DIS,116.41
2022-08-23,DIS,114.86
2022-08-22,DIS,115.94
2022-08-19,DIS,120.14
2022-08-18,DIS,122.67
2022-08-17,DIS,122.81
2022-08-16,DIS,124.96
2022-08-15,DIS,124.26
2022-08-12,DIS,121.57
2022-08-11,DIS,117.69
2022-08-10,DIS,112.43
2022-08-09,DIS,108.13
2022-08-08,DIS,109.11
2022-08-05,DIS,106.63
2022-08-04,DIS,108.12
2022-08-03,DIS,109.02
2022-08-02,DIS,104.71
2022-08-01,DIS,106.22
2022-07-29,DIS,106.1
2022-07-28,DIS,104.9
2022-07-27,DIS,103.5
2022-07-26,DIS,99.78
2022-07-25,DIS,102.69
2022-07-22,DIS,102.72
2022-07-21,DIS,104.18
2022-07-20,DIS,103.35
2022-07-19,DIS,99.61
2022-07-18,DIS,95.7
2022-07-15,DIS,95.2
2022-07-14,DIS,91.84
2022-07-13,DIS,92.94
2022-07-12,DIS,93.6
2022-07-11,DIS,93.64
2022-07-08,DIS,95.86
2022-07-07,DIS,97.43
2022-07-06,DIS,96.08
2022-07-05,DIS,97.18
2022-07-01,DIS,96.14
2022-06-30,DIS,94.4
2022-06-29,DIS,95.65
2022-06-28,DIS,95.92
2022-06-27,DIS,96.61
2022-06-24,DIS,97.78
2022-06-23,DIS,94.3
2022-06-22,DIS,93.5
2022-06-21,DIS,93.29
2022-06-17,DIS,94.34
2022-06-16,DIS,94.28
2022-06-15,DIS,95.88
2022-06-14,DIS,94.22
2022-06-13,DIS,95.71
2022-06-10,DIS,99.4
2022-06-09,DIS,103.3
2022-06-08,DIS,107.34
2022-06-07,DIS,107.79
2022-06-06,DIS,107.83
2022-06-03,DIS,108.67
2022-06-02,DIS,110.87
2022-06-01,DIS,109.19
2022-05-31,DIS,110.44
2022-05-27,DIS,109.32
2022-05-26,DIS,105.61
2022-05-25,DIS,103.26
2022-05-24,DIS,101.59
2022-05-23,DIS,105.83
2022-05-20,DIS,102.42
2022-05-19,DIS,103.14
2022-05-18,DIS,104.3
2022-05-17,DIS,108.64
2022-05-16,DIS,105.18
2022-05-13,DIS,107.33
2022-05-12,DIS,104.31
2022-05-11,DIS,105.21
2022-05-10,DIS,107.68
2022-05-09,DIS,106.98
2022-05-06,DIS,110.29
2022-05-05,DIS,112.61
2022-05-04,DIS,116.19
2022-05-03,DIS,113.55
2022-05-02,DIS,113.5
2022-04-29,DIS,111.63
2022-04-28,DIS,115.29
2022-04-27,DIS,115.21
2022-04-26,DIS,115.77
2022-04-25,DIS,119.95
2022-04-22,DIS,118.27
2022-04-21,DIS,121.66
2022-04-20,DIS,124.57
2022-04-19,DIS,131.9
2022-04-18,DIS,127.77
2022-04-14,DIS,130.47
2022-04-13,DIS,132.35
2022-04-12,DIS,130.84
2022-04-11,DIS,130.65
2022-04-08,DIS,131.87
2022-04-07,DIS,131.87
2022-04-06,DIS,132.57
2022-04-05,DIS,135.62
2022-04-04,DIS,138.58
2022-04-01,DIS,137.0
2022-03-31,DIS,137.16
2022-03-30,DIS,140.96
2022-03-29,DIS,142.38
2022-03-28,DIS,138.72
2022-03-25,DIS,139.14
2022-03-24,DIS,138.96
2022-03-23,DIS,137.64
2022-03-22,DIS,140.11
2022-03-21,DIS,138.62
2022-03-18,DIS,140.3
2022-03-17,DIS,139.47
2022-03-16,DIS,138.14
2022-03-15,DIS,134.2
2022-03-14,DIS,129.03
2022-03-11,DIS,131.75
2022-03-10,DIS,133.64
2022-03-09,DIS,133.65
2022-03-08,DIS,131.75
2022-03-07,DIS,133.5
2022-03-04,DIS,140.72
2022-03-03,DIS,145.57
2022-03-02,DIS,147.34
2022-03-01,DIS,145.7
2022-02-28,DIS,148.46
2022-02-25,DIS,149.53
2022-02-24,DIS,149.4
2022-02-23,DIS,145.87
2022-02-22,DIS,148.09
2022-02-18,DIS,151.36
2022-02-17,DIS,152.95
2022-02-16,DIS,156.35
2022-02-15,DIS,154.72
2022-02-14,DIS,150.85
2022-02-11,DIS,149.47
2022-02-10,DIS,152.16
2022-02-09,DIS,147.23
2022-02-08,DIS,142.48
2022-02-07,DIS,142.51
2022-02-04,DIS,142.02
2022-02-03,DIS,140.03
2022-02-02,DIS,142.62
2022-02-01,DIS,144.49
2022-01-31,DIS,142.97
2022-01-28,DIS,138.63
2022-01-27,DIS,135.42
2022-01-26,DIS,133.6
2022-01-25,DIS,136.51
2022-01-24,DIS,137.46
2022-01-21,DIS,137.38
2022-01-20,DIS,147.62
2022-01-19,DIS,150.11
2022-01-18,DIS,152.27
2022-01-14,DIS,151.94
2022-01-13,DIS,155.44
2022-01-12,DIS,157.8
2022-01-11,DIS,157.89
2022-01-10,DIS,156.6
2022-01-07,DIS,157.83
2022-01-06,DIS,156.9
2022-01-05,DIS,155.19
2022-01-04,DIS,155.73
2022-01-03,DIS,156.76
2021-12-31,DIS,154.89
2021-12-30,DIS,155.93
2021-12-29,DIS,154.87
2021-12-28,DIS,155.2
2021-12-27,DIS,152.8
2021-12-23,DIS,153.63
2021-12-22,DIS,151.88
2021-12-21,DIS,151.05
2021-12-20,DIS,146.47
2021-12-17,DIS,148.76
2021-12-16,DIS,148.75
2021-12-15,DIS,150.4
2021-12-14,DIS,149.1
2021-12-13,DIS,150.43
2021-12-10,DIS,152.71
2021-12-09,DIS,152.94
2021-12-08,DIS,153.34
2021-12-07,DIS,150.81
2021-12-06,DIS,150.37
2021-12-03,DIS,146.22
2021-12-02,DIS,147.2
2021-12-01,DIS,142.15
2021-11-30,DIS,144.9
2021-11-29,DIS,147.81
2021-11-26,DIS,148.11
2021-11-24,DIS,151.34
2021-11-23,DIS,151.03
2021-11-22,DIS,154.16
2021-11-19,DIS,154.0
2021-11-18,DIS,155.58
2021-11-17,DIS,157.33
2021-11-16,DIS,158.83
2021-11-15,DIS,158.43
2021-11-12,DIS,159.63
2021-11-11,DIS,162.11
2021-11-10,DIS,174.45
2021-11-09,DIS,175.11
2021-11-08,DIS,176.87
2021-11-05,DIS,175.63
2021-11-04,DIS,170.28
2021-11-03,DIS,170.08
2021-11-02,DIS,169.83
2021-11-01,DIS,170.19
2021-10-29,DIS,169.07
2021-10-28,DIS,169.68
2021-10-27,DIS,169.55
2021-10-26,DIS,172.04
2021-10-25,DIS,172.01
2021-10-22,DIS,169.42
2021-10-21,DIS,171.34
2021-10-20,DIS,170.55
2021-10-19,DIS,171.18
2021-10-18,DIS,171.14
2021-10-15,DIS,176.46
2021-10-14,DIS,174.41
2021-10-13,DIS,172.96
2021-10-12,DIS,173.13
2021-10-11,DIS,173.52
2021-10-08,DIS,176.74
2021-10-07,DIS,177.71
2021-10-06,DIS,175.48
2021-10-05,DIS,174.61
2021-10-04,DIS,173.46
2021-10-01,DIS,176.01
2021-09-30,DIS,169.17
2021-09-29,DIS,172.68
2021-09-28,DIS,174.52
2021-09-27,DIS,178.26
2021-09-24,DIS,176.0
2021-09-23,DIS,176.25
2021-09-22,DIS,173.65
2021-09-21,DIS,171.17
2021-09-20,DIS,178.61
2021-09-17,DIS,183.47
2021-09-16,DIS,183.34
2021-09-15,DIS,184.41
2021-09-14,DIS,182.4
2021-09-13,DIS,184.98
2021-09-10,DIS,184.12
2021-09-09,DIS,185.91
2021-09-08,DIS,185.15
2021-09-07,DIS,184.34
2021-09-03,DIS,181.0
2021-09-02,DIS,181.86
2021-09-01,DIS,183.48
2021-08-31,DIS,181.3
2021-08-30,DIS,179.98
2021-08-27,DIS,180.14
2021-08-26,DIS,176.56
2021-08-25,DIS,178.31
2021-08-24,DIS,178.47
2021-08-23,DIS,177.66
2021-08-20,DIS,175.12
2021-08-19,DIS,173.25
2021-08-18,DIS,174.74
2021-08-17,DIS,175.83
2021-08-16,DIS,179.09
2021-08-13,DIS,181.08
2021-08-12,DIS,179.29
2021-08-11,DIS,178.09
2021-08-10,DIS,177.07
2021-08-09,DIS,176.72
2021-08-06,DIS,177.13
2021-08-05,DIS,176.71
2021-08-04,DIS,172.58
2021-08-03,DIS,172.99
2021-08-02,DIS,175.55
2021-07-30,DIS,176.02
2021-07-29,DIS,178.35
2021-07-28,DIS,179.1
2021-07-27,DIS,179.5
2021-07-26,DIS,178.74
2021-07-23,DIS,176.14
2021-07-22,DIS,175.13
2021-07-21,DIS,176.89
2021-07-20,DIS,176.75
2021-07-19,DIS,172.95
2021-07-16,DIS,179.31
2021-07-15,DIS,184.15
2021-07-14,DIS,183.42
2021-07-13,DIS,183.65
2021-07-12,DIS,184.38
2021-07-09,DIS,177.04
2021-07-08,DIS,172.8
2021-07-07,DIS,172.82
2021-07-06,DIS,173.69
2021-07-02,DIS,177.11
2021-07-01,DIS,177.26
2021-06-30,DIS,175.77
2021-06-29,DIS,173.93
2021-06-28,DIS,176.57
2021-06-25,DIS,178.35
2021-06-24,DIS,177.93
2021-06-23,DIS,175.33
2021-06-22,DIS,173.5
2021-06-21,DIS,173.97
2021-06-18,DIS,172.42
2021-06-17,DIS,174.65
2021-06-16,DIS,174.66
2021-06-15,DIS,175.86
2021-06-14,DIS,178.18
2021-06-11,DIS,177.38
2021-06-10,DIS,176.57
2021-06-09,DIS,176.04
2021-06-08,DIS,176.33
2021-06-07,DIS,176.99
2021-06-04,DIS,177.18
2021-06-03,DIS,176.24
2021-06-02,DIS,177.0
2021-06-01,DIS,178.84
2021-05-28,DIS,178.65
2021-05-27,DIS,179.04
2021-05-26,DIS,176.47
2021-05-25,DIS,176.17
2021-05-24,DIS,174.31
2021-05-21,DIS,172.4
2021-05-20,DIS,171.36
2021-05-19,DIS,169.27
2021-05-18,DIS,169.68
2021-05-17,DIS,170.08
2021-05-14,DIS,173.7
2021-05-13,DIS,178.34
2021-05-12,DIS,177.85
2021-05-11,DIS,181.67
2021-05-10,DIS,184.3
2021-05-07,DIS,184.84
2021-05-06,DIS,181.79
2021-05-05,DIS,181.51
2021-05-04,DIS,184.25
2021-05-03,DIS,185.51
2021-04-30,DIS,186.02
2021-04-29,DIS,185.33
2021-04-28,DIS,183.39
2021-04-27,DIS,184.64
2021-04-26,DIS,184.27
2021-04-23,DIS,183.02
2021-04-22,DIS,182.76
2021-04-21,DIS,183.11
2021-04-20,DIS,182.79
2021-04-19,DIS,187.43
2021-04-16,DIS,187.26
2021-04-15,DIS,185.93
2021-04-14,DIS,187.46
2021-04-13,DIS,185.49
2021-04-12,DIS,186.49
2021-04-09,DIS,187.89
2021-04-08,DIS,187.32
2021-04-07,DIS,187.56
2021-04-06,DIS,189.73
2021-04-05,DIS,188.5
2021-04-01,DIS,188.97
2021-03-31,DIS,184.52
2021-03-30,DIS,185.53
2021-03-29,DIS,184.85
2021-03-26,DIS,185.92
2021-03-25,DIS,186.91
2021-03-24,DIS,184.72
2021-03-23,DIS,188.73
2021-03-22,DIS,192.86
2021-03-19,DIS,191.14
2021-03-18,DIS,192.28
2021-03-17,DIS,195.24
2021-03-16,DIS,194.24
2021-03-15,DIS,196.76
2021-03-12,DIS,197.16
2021-03-11,DIS,196.75
2021-03-10,DIS,195.06
2021-03-09,DIS,194.51
2021-03-08,DIS,201.91
2021-03-05,DIS,189.99
2021-03-04,DIS,188.03
2021-03-03,DIS,192.26
2021-03-02,DIS,193.94
2021-03-01,DIS,194.98
2021-02-26,DIS,189.04
2021-02-25,DIS,190.98
2021-02-24,DIS,197.51
