Date,Exchange_Symbol,Close_Price
2023-01-06,GOOG,88.16
2023-01-05,GOOG,86.77
2023-01-04,GOOG,88.71
2023-01-03,GOOG,89.7
2022-12-30,GOOG,88.73
2022-12-29,GOOG,88.95
2022-12-28,GOOG,86.46
2022-12-27,GOOG,87.93
2022-12-23,GOOG,89.81
2022-12-22,GOOG,88.26
2022-12-21,GOOG,90.25
2022-12-20,GOOG,89.63
2022-12-19,GOOG,89.15
2022-12-16,GOOG,90.86
2022-12-15,GOOG,91.2
2022-12-14,GOOG,95.31
2022-12-13,GOOG,95.85
2022-12-12,GOOG,93.56
2022-12-09,GOOG,93.07
2022-12-08,GOOG,93.95
2022-12-07,GOOG,95.15
2022-12-06,GOOG,97.31
2022-12-05,GOOG,99.87
2022-12-02,GOOG,100.83
2022-12-01,GOOG,101.28
2022-11-30,GOOG,101.45
2022-11-29,GOOG,95.44
2022-11-28,GOOG,96.25
2022-11-25,GOOG,97.6
2022-11-23,GOOG,98.82
2022-11-22,GOOG,97.33
2022-11-21,GOOG,95.83
2022-11-18,GOOG,97.8
2022-11-17,GOOG,98.5
2022-11-16,GOOG,98.99
2022-11-15,GOOG,98.72
2022-11-14,GOOG,96.03
2022-11-11,GOOG,96.73
2022-11-10,GOOG,94.17
2022-11-09,GOOG,87.4
2022-11-08,GOOG,88.91
2022-11-07,GOOG,88.65
2022-11-04,GOOG,86.7
2022-11-03,GOOG,83.49
2022-11-02,GOOG,87.07
2022-11-01,GOOG,90.5
2022-10-31,GOOG,94.66
2022-10-28,GOOG,96.58
2022-10-27,GOOG,92.6
2022-10-26,GOOG,94.82
2022-10-25,GOOG,104.93
2022-10-24,GOOG,102.97
2022-10-21,GOOG,101.48
2022-10-20,GOOG,100.53
2022-10-19,GOOG,100.29
2022-10-18,GOOG,101.39
2022-10-17,GOOG,100.78
2022-10-14,GOOG,97.18
2022-10-13,GOOG,99.71
2022-10-12,GOOG,98.3
2022-10-11,GOOG,98.05
2022-10-10,GOOG,98.71
2022-10-07,GOOG,99.57
2022-10-06,GOOG,102.24
2022-10-05,GOOG,102.22
2022-10-04,GOOG,102.41
2022-10-03,GOOG,99.3
2022-09-30,GOOG,96.15
2022-09-29,GOOG,98.09
2022-09-28,GOOG,100.74
2022-09-27,GOOG,98.09
2022-09-26,GOOG,98.81
2022-09-23,GOOG,99.17
2022-09-22,GOOG,100.57
2022-09-21,GOOG,100.01
2022-09-20,GOOG,101.83
2022-09-19,GOOG,103.85
2022-09-16,GOOG,103.63
2022-09-15,GOOG,103.9
2022-09-14,GOOG,105.87
2022-09-13,GOOG,105.31
2022-09-12,GOOG,111.87
2022-09-09,GOOG,111.78
2022-09-08,GOOG,109.42
2022-09-07,GOOG,110.48
2022-09-06,GOOG,107.48
2022-09-02,GOOG,108.68
2022-09-01,GOOG,110.55
2022-08-31,GOOG,109.15
2022-08-30,GOOG,109.91
2022-08-29,GOOG,110.34
2022-08-26,GOOG,111.3
2022-08-25,GOOG,117.7
2022-08-24,GOOG,114.7
2022-08-23,GOOG,114.77
2022-08-22,GOOG,115.07
2022-08-19,GOOG,118.12
2022-08-18,GOOG,120.86
2022-08-17,GOOG,120.32
2022-08-16,GOOG,122.51
2022-08-15,GOOG,122.88
2022-08-12,GOOG,122.65
2022-08-11,GOOG,119.82
2022-08-10,GOOG,120.65
2022-08-09,GOOG,117.5
2022-08-08,GOOG,118.14
2022-08-05,GOOG,118.22
2022-08-04,GOOG,118.87
2022-08-03,GOOG,118.78
2022-08-02,GOOG,115.9
2022-08-01,GOOG,115.48
2022-07-29,GOOG,116.64
2022-07-28,GOOG,114.59
2022-07-27,GOOG,113.6
2022-07-26,GOOG,105.44
2022-07-25,GOOG,108.21
2022-07-22,GOOG,108.36
2022-07-21,GOOG,115.04
2022-07-20,GOOG,114.7
2022-07-19,GOOG,114.62
2022-07-18,GOOG,109.91
2022-07-15,GOOG,112.767
2022-07-14,GOOG,111.44
2022-07-13,GOOG,112.187
2022-07-12,GOOG,114.8495
2022-07-11,GOOG,116.5225
2022-07-08,GOOG,120.1685
2022-07-07,GOOG,119.306
2022-07-06,GOOG,115.2135
2022-07-05,GOOG,113.887
2022-07-01,GOOG,109.081
2022-06-30,GOOG,109.3725
2022-06-29,GOOG,112.2565
2022-06-28,GOOG,112.5715
2022-06-27,GOOG,116.6225
2022-06-24,GOOG,118.538
2022-06-23,GOOG,112.6845
2022-06-22,GOOG,112.034
2022-06-21,GOOG,112.015
2022-06-17,GOOG,107.8655
2022-06-16,GOOG,106.636
2022-06-15,GOOG,110.3905
2022-06-14,GOOG,107.194
2022-06-13,GOOG,106.8765
2022-06-10,GOOG,111.4275
2022-06-09,GOOG,114.918
2022-06-08,GOOG,117.238
2022-06-07,GOOG,117.2295
2022-06-06,GOOG,117.0105
2022-06-03,GOOG,114.564
2022-06-02,GOOG,117.746
2022-06-01,GOOG,114.137
2022-05-31,GOOG,114.039
2022-05-27,GOOG,112.799
2022-05-26,GOOG,108.296
2022-05-25,GOOG,105.8395
2022-05-24,GOOG,105.926
2022-05-23,GOOG,111.6665
2022-05-20,GOOG,109.313
2022-05-19,GOOG,110.7455
2022-05-18,GOOG,112.401
2022-05-17,GOOG,116.7015
2022-05-16,GOOG,114.7925
2022-05-13,GOOG,116.5155
2022-05-12,GOOG,113.161
2022-05-11,GOOG,113.961
2022-05-10,GOOG,114.5845
2022-05-09,GOOG,113.084
2022-05-06,GOOG,115.66
2022-05-05,GOOG,116.7465
2022-05-04,GOOG,122.575
2022-05-03,GOOG,118.1295
2022-05-02,GOOG,117.157
2022-04-29,GOOG,114.9665
2022-04-28,GOOG,119.4115
2022-04-27,GOOG,115.0205
2022-04-26,GOOG,119.506
2022-04-25,GOOG,123.25
2022-04-22,GOOG,119.614
2022-04-21,GOOG,124.9375
2022-04-20,GOOG,128.2455
2022-04-19,GOOG,130.531
2022-04-18,GOOG,127.961
2022-04-14,GOOG,127.253
2022-04-13,GOOG,130.286
2022-04-12,GOOG,128.3745
2022-04-11,GOOG,129.7965
2022-04-08,GOOG,134.0105
2022-04-07,GOOG,136.465
2022-04-06,GOOG,137.176
2022-04-05,GOOG,141.063
2022-04-04,GOOG,143.6425
2022-04-01,GOOG,140.7
2022-03-31,GOOG,139.6495
2022-03-30,GOOG,142.6445
2022-03-29,GOOG,143.25
2022-03-28,GOOG,141.95
2022-03-25,GOOG,141.5215
2022-03-24,GOOG,141.312
2022-03-23,GOOG,138.5035
2022-03-22,GOOG,140.2775
2022-03-21,GOOG,136.4785
2022-03-18,GOOG,136.8015
2022-03-17,GOOG,134.6005
2022-03-16,GOOG,133.6905
2022-03-15,GOOG,129.6605
2022-03-14,GOOG,126.741
2022-03-11,GOOG,130.4755
2022-03-10,GOOG,132.682
2022-03-09,GOOG,133.866
2022-03-08,GOOG,127.2785
2022-03-07,GOOG,126.4645
2022-03-04,GOOG,132.122
2022-03-03,GOOG,134.308
2022-03-02,GOOG,134.7515
2022-03-01,GOOG,134.168
2022-02-28,GOOG,134.891
2022-02-25,GOOG,134.5195
2022-02-24,GOOG,132.6735
2022-02-23,GOOG,127.585
2022-02-22,GOOG,129.4025
2022-02-18,GOOG,130.4675
2022-02-17,GOOG,132.3085
2022-02-16,GOOG,137.4875
2022-02-15,GOOG,136.4255
2022-02-14,GOOG,135.3
2022-02-11,GOOG,134.13
