Date,Exchange_Symbol,Close_Price
2023-01-06,MSFT,224.93
2023-01-05,MSFT,222.31
2023-01-04,MSFT,229.1
2023-01-03,MSFT,239.58
2022-12-30,MSFT,239.82
2022-12-29,MSFT,241.01
2022-12-28,MSFT,234.53
2022-12-27,MSFT,236.96
2022-12-23,MSFT,238.73
2022-12-22,MSFT,238.19
2022-12-21,MSFT,244.43
2022-12-20,MSFT,241.8
2022-12-19,MSFT,240.45
2022-12-16,MSFT,244.69
2022-12-15,MSFT,249.01
2022-12-14,MSFT,257.22
2022-12-13,MSFT,256.92
2022-12-12,MSFT,252.51
2022-12-09,MSFT,245.42
2022-12-08,MSFT,247.4
2022-12-07,MSFT,244.37
2022-12-06,MSFT,245.12
2022-12-05,MSFT,250.2
2022-12-02,MSFT,255.02
2022-12-01,MSFT,254.69
2022-11-30,MSFT,255.14
2022-11-29,MSFT,240.33
2022-11-28,MSFT,241.76
2022-11-25,MSFT,247.49
2022-11-23,MSFT,247.58
2022-11-22,MSFT,245.03
2022-11-21,MSFT,242.05
2022-11-18,MSFT,241.22
2022-11-17,MSFT,241.68
2022-11-16,MSFT,241.73
2022-11-15,MSFT,241.97
2022-11-14,MSFT,241.55
2022-11-11,MSFT,247.11
2022-11-10,MSFT,242.98
2022-11-09,MSFT,224.51
2022-11-08,MSFT,228.87
2022-11-07,MSFT,227.87
2022-11-04,MSFT,221.39
2022-11-03,MSFT,214.25
2022-11-02,MSFT,220.1
2022-11-01,MSFT,228.17
2022-10-31,MSFT,232.13
2022-10-28,MSFT,235.87
2022-10-27,MSFT,226.75
2022-10-26,MSFT,231.32
2022-10-25,MSFT,250.66
2022-10-24,MSFT,247.25
2022-10-21,MSFT,242.12
2022-10-20,MSFT,236.15
2022-10-19,MSFT,236.48
2022-10-18,MSFT,238.5
2022-10-17,MSFT,237.53
2022-10-14,MSFT,228.56
2022-10-13,MSFT,234.24
2022-10-12,MSFT,225.75
2022-10-11,MSFT,225.41
2022-10-10,MSFT,229.25
2022-10-07,MSFT,234.24
2022-10-06,MSFT,246.79
2022-10-05,MSFT,249.2
2022-10-04,MSFT,248.88
2022-10-03,MSFT,240.74
2022-09-30,MSFT,232.9
