Date,Exchange_Symbol,Close_Price
2023-01-06,NFLX,315.55
2023-01-05,NFLX,309.7
2023-01-04,NFLX,309.41
2023-01-03,NFLX,294.95
2022-12-30,NFLX,294.88
2022-12-29,NFLX,291.12
2022-12-28,NFLX,276.88
2022-12-27,NFLX,284.17
2022-12-23,NFLX,294.965
2022-12-22,NFLX,297.75
2022-12-21,NFLX,297.96
2022-12-20,NFLX,288.19
2022-12-19,NFLX,288.3
2022-12-16,NFLX,290.71
2022-12-15,NFLX,290.41
2022-12-14,NFLX,317.83
2022-12-13,NFLX,320.34
2022-12-12,NFLX,315.18
2022-12-09,NFLX,320.01
2022-12-08,NFLX,310.26
2022-12-07,NFLX,308.42
2022-12-06,NFLX,305.56
2022-12-05,NFLX,312.59
2022-12-02,NFLX,320.41
2022-12-01,NFLX,316.95
2022-11-30,NFLX,305.53
2022-11-29,NFLX,280.96
2022-11-28,NFLX,281.17
2022-11-25,NFLX,285.54
2022-11-23,NFLX,291.5
2022-11-22,NFLX,286.69
2022-11-21,NFLX,285.05
2022-11-18,NFLX,287.98
2022-11-17,NFLX,295.28
2022-11-16,NFLX,306.02
2022-11-15,NFLX,310.2
2022-11-14,NFLX,299.27
2022-11-11,NFLX,290.13
2022-11-10,NFLX,274.97
2022-11-09,NFLX,254.66
2022-11-08,NFLX,263.46
2022-11-07,NFLX,258.6
2022-11-04,NFLX,260.79
2022-11-03,NFLX,269.06
2022-11-02,NFLX,273.0
2022-11-01,NFLX,286.75
2022-10-31,NFLX,291.88
2022-10-28,NFLX,295.72
2022-10-27,NFLX,296.94
2022-10-26,NFLX,298.62
2022-10-25,NFLX,291.02
2022-10-24,NFLX,282.45
2022-10-21,NFLX,289.57
2022-10-20,NFLX,268.16
2022-10-19,NFLX,272.38
2022-10-18,NFLX,240.86
2022-10-17,NFLX,245.1
2022-10-14,NFLX,230.0
2022-10-13,NFLX,232.51
2022-10-12,NFLX,220.87
2022-10-11,NFLX,214.29
2022-10-10,NFLX,229.98
2022-10-07,NFLX,224.75
2022-10-06,NFLX,240.02
2022-10-05,NFLX,236.73
2022-10-04,NFLX,240.74
2022-10-03,NFLX,239.04
2022-09-30,NFLX,235.44
2022-09-29,NFLX,239.71
2022-09-28,NFLX,245.2
2022-09-27,NFLX,224.36
2022-09-26,NFLX,224.07
2022-09-23,NFLX,226.41
2022-09-22,NFLX,237.05
2022-09-21,NFLX,236.87
2022-09-20,NFLX,242.85
2022-09-19,NFLX,243.63
2022-09-16,NFLX,240.13
2022-09-15,NFLX,235.38
2022-09-14,NFLX,224.12
2022-09-13,NFLX,218.13
2022-09-12,NFLX,236.53
2022-09-09,NFLX,233.57
2022-09-08,NFLX,227.44
2022-09-07,NFLX,228.96
2022-09-06,NFLX,218.39
2022-09-02,NFLX,226.11
2022-09-01,NFLX,230.04
2022-08-31,NFLX,223.56
2022-08-30,NFLX,220.65
2022-08-29,NFLX,224.57
2022-08-26,NFLX,223.28
2022-08-25,NFLX,233.98
2022-08-24,NFLX,229.61
2022-08-23,NFLX,224.55
2022-08-22,NFLX,226.54
2022-08-19,NFLX,241.16
2022-08-18,NFLX,245.17
2022-08-17,NFLX,241.15
2022-08-16,NFLX,245.69
2022-08-15,NFLX,249.11
2022-08-12,NFLX,249.3
2022-08-11,NFLX,242.7
2022-08-10,NFLX,244.11
2022-08-09,NFLX,229.94
2022-08-08,NFLX,233.49
2022-08-05,NFLX,226.78
2022-08-04,NFLX,229.91
2022-08-03,NFLX,226.73
2022-08-02,NFLX,221.42
2022-08-01,NFLX,226.21
2022-07-29,NFLX,224.9
2022-07-28,NFLX,226.02
2022-07-27,NFLX,226.75
2022-07-26,NFLX,213.91
2022-07-25,NFLX,218.51
2022-07-22,NFLX,220.44
2022-07-21,NFLX,223.88
2022-07-20,NFLX,216.44
2022-07-19,NFLX,201.63
2022-07-18,NFLX,190.92
2022-07-15,NFLX,189.11
2022-07-14,NFLX,174.78
2022-07-13,NFLX,176.56
2022-07-12,NFLX,174.45
2022-07-11,NFLX,177.34
2022-07-08,NFLX,186.975
2022-07-07,NFLX,189.27
2022-07-06,NFLX,184.06
2022-07-05,NFLX,185.88
2022-07-01,NFLX,179.95
2022-06-30,NFLX,174.87
2022-06-29,NFLX,178.36
2022-06-28,NFLX,179.6
2022-06-27,NFLX,189.14
2022-06-24,NFLX,190.85
2022-06-23,NFLX,181.71
2022-06-22,NFLX,178.89
2022-06-21,NFLX,170.91
2022-06-17,NFLX,175.51
2022-06-16,NFLX,173.35
2022-06-15,NFLX,180.11
2022-06-14,NFLX,167.54
2022-06-13,NFLX,169.69
2022-06-10,NFLX,182.94
2022-06-09,NFLX,192.77
2022-06-08,NFLX,202.83
2022-06-07,NFLX,198.61
2022-06-06,NFLX,197.14
2022-06-03,NFLX,198.98
2022-06-02,NFLX,205.09
2022-06-01,NFLX,192.91
2022-05-31,NFLX,197.44
2022-05-27,NFLX,195.19
2022-05-26,NFLX,191.4
2022-05-25,NFLX,187.83
2022-05-24,NFLX,180.34
2022-05-23,NFLX,187.44
2022-05-20,NFLX,186.35
2022-05-19,NFLX,183.48
2022-05-18,NFLX,177.19
2022-05-17,NFLX,190.56
2022-05-16,NFLX,186.51
2022-05-13,NFLX,187.64
2022-05-12,NFLX,174.31
2022-05-11,NFLX,166.37
2022-05-10,NFLX,177.66
2022-05-09,NFLX,173.1
2022-05-06,NFLX,180.97
2022-05-05,NFLX,188.32
2022-05-04,NFLX,204.01
2022-05-03,NFLX,199.87
2022-05-02,NFLX,199.46
2022-04-29,NFLX,190.36
2022-04-28,NFLX,199.52
2022-04-27,NFLX,188.54
2022-04-26,NFLX,198.4
2022-04-25,NFLX,209.91
2022-04-22,NFLX,215.52
2022-04-21,NFLX,218.22
2022-04-20,NFLX,226.19
2022-04-19,NFLX,348.61
2022-04-18,NFLX,337.86
2022-04-14,NFLX,341.13
2022-04-13,NFLX,350.43
2022-04-12,NFLX,344.1
2022-04-11,NFLX,348.0
2022-04-08,NFLX,355.88
2022-04-07,NFLX,362.15
2022-04-06,NFLX,368.35
2022-04-05,NFLX,380.15
2022-04-04,NFLX,391.5
2022-04-01,NFLX,373.47
2022-03-31,NFLX,374.59
2022-03-30,NFLX,381.47
2022-03-29,NFLX,391.82
2022-03-28,NFLX,378.51
2022-03-25,NFLX,373.85
2022-03-24,NFLX,375.71
2022-03-23,NFLX,374.49
2022-03-22,NFLX,382.92
2022-03-21,NFLX,374.59
2022-03-18,NFLX,380.6
2022-03-17,NFLX,371.4
2022-03-16,NFLX,357.53
2022-03-15,NFLX,343.75
2022-03-14,NFLX,331.01
2022-03-11,NFLX,340.32
2022-03-10,NFLX,356.77
2022-03-09,NFLX,358.79
2022-03-08,NFLX,341.76
2022-03-07,NFLX,350.26
2022-03-04,NFLX,361.73
2022-03-03,NFLX,368.07
2022-03-02,NFLX,380.03
2022-03-01,NFLX,386.24
2022-02-28,NFLX,394.52
2022-02-25,NFLX,390.8
2022-02-24,NFLX,390.03
2022-02-23,NFLX,367.46
2022-02-22,NFLX,377.38
2022-02-18,NFLX,391.29
2022-02-17,NFLX,386.67
2022-02-16,NFLX,398.08
2022-02-15,NFLX,407.46
2022-02-14,NFLX,396.57
2022-02-11,NFLX,391.31
2022-02-10,NFLX,406.27
2022-02-09,NFLX,412.89
2022-02-08,NFLX,403.53
2022-02-07,NFLX,402.1
2022-02-04,NFLX,410.17
